Actinocyclus sp.,Alexandrium spp.,Amphidinium spp,Asterionella glacialis,Bacillaria spp,Bacteriastrum hyalina,Biddulphia spp.,Cerataulina pelagica,Ceratium fusus,Ceratium lineatum,Ceratium tripos,Chaetoceros affinis,Chaetoceros brevis,Chaetoceros compressus,Chaetoceros constrictus,Chaetoceros costatus,Chaetoceros curvisetus,Chaetoceros danicus,Chaetoceros debilis,Chaetoceros decipiens,Chaetoceros densus,Chaetoceros diadema,Chaetoceros didymus,Chaetoceros eibenii,Chaetoceros laciniosus,Chaetoceros lauderi,Chaetoceros lorenzianus,Chaetoceros radicans,Chaetoceros similis,Chaetoceros simplex,Chaetoceros socialis,Chaetoceros subtilis,Chaetoceros teres,Cochlodinium spp.,Coscinodiscus granii,Cryptomonads,Cyclotella spp,Cylindrotheca closterium,Dactyliosolen spp.,Detonula confervacea,Detonula pumila,Dictyocha fibula,Dictyocha speculum,Dinobryon spp,Dinophysis acuminata,Diplopsalis lenticula,Ditylum brightwellii,Ebria spp,Eucampia spp,Eucampia zodiacus,Gonyaulax spp.,Guinardia delicatula,Guinardia flaccida,Guinardia striata,Gymnodinium sanguineum,Gymnodinium spp.,Gyrodinium spirale,Hemiaulus spp.,Heterocapsa rotundata,Heterocapsa triquetra,Heterosigma spp.,Lauderia annulata,Leptocylindrus danicus,Leptocylindrus minimus,Lithodesmium undulatum,Melosira spp.,Nitzschia longissima,Oltmannsiella spp.,Paralia sulcata,Phaeocystis spp.,Polykrikos spp.,Proboscia alata,Prorocentrum micans,Prorocentrum minimum,Prorocentrum scutellum,Protoperidinium oceanicum,Pseudo-nitzschia delicatissima,Pseudo-nitzschia pungens,Pyramimonas torta,Rhizosolenia hebatata,Rhizosolenia setigera,Skeletonema spp.,Stephanopyxis turris,Striatella unipunctata,Thalassionema nitzschioides,Thalassiosira eccentrica,Thalassiosira nordenskioeldii,Thalassiosira pacifica,Thalassiosira punctigera,Thalassioisira rotula
0,0,0.431372549,27.5,0,0,0.039215686,12.69230769,0,0,0,0,0,0,0,0,5.923076923,0,0,6,0,0,0,0,0,0,0,0,0,0,21.15384615,0,0,0,0,6.192307692,0,50.96153846,3.705882353,1.076923077,0,0,0.346153846,0,0,0,58,0,0,12.5,0,9.692307692,0,0.038461538,0.115384615,0.269230769,0,0,0,0,0.346153846,0,112.6923077,35.46153846,0.961538462,0,0.076923077,8.346153846,0,0,0,0.153846154,2.192307692,0,0,0,0,0,0.115384615,0,0.346153846,1948.576923,0.615384615,0,4.5,0,0,0,0,32.84615385
0,0,0.173076923,61.22916667,0,0.104166667,0.038461538,236.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.4166667,0,0.354166667,261.1730769,9.229166667,0,0,0,0,0,0,4.354166667,0.1875,0,26.91666667,0,83.95833333,0.375,0,0.020833333,19.89583333,0,0,100.2708333,3,5.791666667,0,39.9375,4.729166667,0,0,0,0,0,0,0,0,0.083333333,0.395833333,0,0,0,0,0.625,0,0.333333333,283.3541667,0.520833333,0,13.45833333,0,52,0,0,12.1875
0.018867925,0,0,186.5,0,0,0,52.42307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.692307692,0,0,2.115384615,0,109.2692308,0,0.461538462,111.2264151,79.88461538,0,0,0,0,0,0.076923077,5.038461538,0.192307692,0,74.92307692,0.038461538,50.15384615,0.076923077,0,0.230769231,12.19230769,0.192307692,0,74.57692308,2.730769231,0,0,88.11538462,4,0,0,0,0,0.423076923,0,0.038461538,0,0,0.115384615,0.461538462,0,0,0,0.153846154,0,0.038461538,2526.961538,0,0,4.115384615,0,54.53846154,0,0,108.1153846
0,0,0.019230769,51.84615385,0,0,4.788461538,836.8846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038461538,0,171.0384615,0,0.153846154,91,66.76923077,0,0,0,0,0,0.038461538,1.192307692,0.538461538,0,4.923076923,0,71.53846154,0,0,1.346153846,27.53846154,0.153846154,0,30.53846154,7.346153846,0.038461538,0,8.961538462,20.23076923,0,0,0,0,0,0,0.115384615,0,0,0.115384615,0.192307692,0,0,0,0.192307692,0,0.269230769,1743.538462,0.230769231,0,19.38461538,0,27.73076923,0,0,107.0384615
0,0,0,282.2,0,0,0,40.8,0,0,0,0,0,12.7,0,0,93,0,173.9,0,0,1.8,0,0,0,0,0,0,0,0,61.5,0,0,0,0,18.3,0,0,0.711538462,0,0,0,0,0,0.2,0,3.2,0,0,34.1,0,0,0,0,0,0,0,0,0.3,0,0,0,1.5,6.3,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0.1,130.6,2,0,0.4,0,0,0,0,0
0,0,0.730769231,163.9615385,0,0,0.019230769,50.21153846,0,0,0,0,0,3.865384615,0,0,6.807692308,0,24.5,3.192307692,0,0,8.230769231,0,0,0,7.346153846,0,0,0.019230769,160.1730769,0,0,0.25,0,416.3076923,0,5.692307692,13.38461538,121.3653846,4.153846154,0,0.230769231,0.019230769,0.557692308,0.038461538,4.692307692,0.980769231,0,9.826923077,0,178.1538462,0,0,0.769230769,3.096153846,0.192307692,0,18.96153846,0.480769231,1.692307692,2.423076923,77.36538462,169.8076923,0,0,0,0,0,0.461538462,0,0,0.019230769,0.826923077,0,0,0.153846154,0,1.384615385,0,0.5,606.4230769,0,0,0.692307692,0,27.05769231,0,0,0
0,0,0.346153846,10.15384615,0,0,0.134615385,247,0,0.019230769,0,0,0,6.326923077,0.942307692,0,2.365384615,0.096153846,24.01923077,1.653846154,0,0,0.884615385,0,0,0,1.442307692,26.32692308,0,0,13.11538462,9.923076923,0,0.192307692,0,293.1538462,0,6.596153846,91.19230769,89.84615385,0,0.25,0.769230769,9.057692308,0.211538462,0.019230769,5.846153846,0.346153846,0,76.17307692,0,84.09615385,1.134615385,0,0,19.84615385,0.884615385,0,16.61538462,3.211538462,1.5,0.75,20.34615385,4108.134615,0,0.038461538,0,0,0.403846154,25.63461538,0,0.807692308,0.25,1.788461538,0,0,0,7.057692308,1.346153846,0.134615385,1.384615385,2974.384615,0,0,13.32692308,0,49.17307692,0,0,1.153846154
0,0,0.222222222,1.611111111,0,0,0.833333333,0,0,0,0,0,0,48.22222222,1.888888889,0,0,0,2.055555556,0.166666667,0,0,0.055555556,0,0,0,0,1.333333333,0,0,5.944444444,0,0,0,0,91.77777778,0,2.833333333,1.388888889,389.5555556,0,0,4.777777778,1.222222222,0.055555556,0,0.111111111,4.222222222,0,5.055555556,0,135.7222222,0,0,0,7.888888889,0.388888889,0,59.77777778,81.66666667,0,0.777777778,0.222222222,16.72222222,0,0,0,0,0.722222222,0,0,0,0,1.055555556,0,0,0,0,0.333333333,0,7.388888889,569.6111111,0,0,10.61111111,0,111.7777778,0,0,23.16666667
0,0,21.27659574,0,0,0,0,45322.80851,0,0,0,2191.489362,0,2595.744681,0,0,5245.021277,595.7446809,44563.82979,808.5106383,0,0,7808.510638,0,0,0,1290.170213,0,0,0,144917.9149,0,0,0,0,10531.91489,0,617.0212766,914.893617,170.212766,6468.085106,0,148.9361702,0,451.1914894,0,2688.276596,42.55319149,1057.702128,59021.2766,2119.106383,80226.59574,3329.787234,0,0,1048.042553,127.6595745,0,10694.7234,5000,0,0,4026.340426,43414.12766,0,1834,0,0,1074.468085,2468.085106,0,255.3191489,0,0,0,0,0,0,319.1489362,106.3829787,3557.021277,767240.8085,2851.06383,0,0,0,0,0,0,1106.382979
27420.26923,0,679.2564103,0,0,525.6410256,0,85061.58547,0,0,0,7678.606795,0,0,37224.30769,8497.74359,22166.67949,4250.380342,20008.27346,602.5641026,0,20282.05128,14257.47009,0,0,0,11890.76496,13038.46154,1502.679487,0,173859.9487,8332.320513,243.5897436,0,0,67906.10256,0,8126.52991,536186.3462,29948.71795,0,0,1180.358974,27385.17949,363.2692308,142.6282051,8541.418804,1297.854701,0,80061.66239,65.70512821,285309.2308,269.2307692,0,277.5974026,10867.80342,2763.098295,0,30267.76068,996.3846154,183.974359,0,207497,586766.2692,0,0,0,0,38.46153846,38.46153846,266.5769231,0,0,259.6153846,0,0,254.0384615,197.6538462,3560.893163,0,19258.21795,1282853.778,0,0,0,0,20179.48718,0,43.80769231,307.6923077
183.0985915,0,0,76.28169014,0,0,0,3518.802817,0,0,0,1070.422535,0,267.6056338,3126.760563,1211.267606,10565.94366,436.3098592,7475.084507,903.5211268,0,3599.464789,9417.971831,0,0,0,4647.366197,394.3661972,386.2112676,0,68524.90141,3684.859155,0,214.4507042,0,82488.42254,0,3581.633803,254756.9014,1127.211268,549.2957746,0,28.16901408,18822.67606,220.6619718,0,3767.802817,586.6197183,323.943662,85657.29577,0,44149.12676,828.7605634,70.42253521,144.3661972,239.4366197,551.9859155,0,20579.52113,1066.253521,0,0,8998.859155,75475.28169,0,0,0,0,0,0,216.5492958,28.16901408,938.3802817,0,0,0,0,1602.71831,259.5070423,0,1964.676056,1665410.972,197.1830986,0,0,28.16901408,296508.7042,0,42.25352113,0
0,0,0,0,0,0,0,17821.65306,0,0,0,8160.857143,0,13051.20408,0,0,89982.14286,20.40816327,0,2435.591837,0,40.81632653,7881.979592,1061.22449,0,0,3275.428571,0,0,0,51578.40816,102.0408163,0,0,0,25205.97959,0,10764.16327,60388.08163,0,0,0,4139.285714,5069.755102,318.0204082,0,12996.4898,1734.714286,0,15722.79592,381.0204082,70494.04082,1171.755102,751.8163265,142.8571429,432.8571429,227.8979592,0,0,0,387.755102,0,70317.38776,135725.9184,0,40.81632653,61.2244898,0,469.3877551,8755.102041,0,0,0,0,40.81632653,0,0,0,0,0,773.8367347,765375.9796,40.81632653,0,0,40.81632653,16644.4898,244.8979592,105.4489796,27387.79592
